NOC2016,noc_title_2016,NOC2006,noc_title_2006
7512,"Bus drivers, subway operators and other transit operators",H712,"Bus drivers, subway operators and other transit operators"
7513,Taxi and limousine drivers and chauffeurs,H713,Taxi and limousine drivers and chauffeurs
7514,Delivery and courier service drivers,H714,Delivery and courier service drivers
7521,Heavy equipment operators (except crane),H611,Heavy equipment operators (except crane)
7522,Public works maintenance equipment operators and related workers,H612,Public works maintenance equipment operators
7531,Railway yard and track maintenance workers,H731,Railway yard workers
7531,Railway yard and track maintenance workers,H732,Railway track maintenance workers
7532,Water transport deck and engine room crew,H733,"Deck crew, water transport"
7532,Water transport deck and engine room crew,H734,"Engine room crew, water transport"
7533,Boat and cable ferry operators and related occupations,H735,Lock and cable ferry operators and related occupations
7533,Boat and cable ferry operators and related occupations,H736,Boat operators
7534,Air transport ramp attendants,H737,Air transport ramp attendants
7535,Other automotive mechanical installers and servicers,H533,Automotive mechanical installers and servicers
7611,Construction trades helpers and labourers,H821,Construction trades helpers and labourers
7612,Other trades helpers and labourers,H822,Other trades helpers and labourers
7621,Public works and maintenance labourers,H831,Public works and maintenance labourers
7622,Railway and motor transport labourers,H832,Railway and motor transport labourers
8211,"Supervisors, logging and forestry",I111,"Supervisors, logging and forestry"
8221,"Supervisors, mining and quarrying",I121,"Supervisors, mining and quarrying"
8222,"Contractors and supervisors, oil and gas drilling and services",I122,"Supervisors, oil and gas drilling and service"
8231,Underground production and development miners,I131,Underground production and development miners
8232,"Oil and gas well drillers, servicers, testers and related workers",I132,"Oil and gas well drillers, servicers, testers and related workers"
8241,Logging machinery operators,I151,Logging machinery operators
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",I012,Agricultural and related service contractors and managers
